# L1 Build Simulation (Up to date)
# 530 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
15.398,500.326,-4.996,-0.014,4.996,0.106,36.229,-0.028,36.229,-0.044,2.131,0.105,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.107e5,0,10.931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.972e-4,NaN,NaN,NaN,NaN,2.132,11.602,952.059,338.33,0.5,0.901
15.898,497.83,-4.988,0.017,4.988,0.155,35.182,-0.028,35.182,-0.045,2.054,0.154,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.104e5,0,10.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.017e-4,NaN,NaN,NaN,NaN,2.053,11.618,952.337,338.339,0.5,0.901
16.398,495.335,-4.99,-0.004,4.99,0.464,34.097,-0.028,34.097,-0.046,2.286,0.464,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.105e5,0,10.954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.953e-4,NaN,NaN,NaN,NaN,2.29,11.634,952.616,338.349,0.5,0.902
16.898,492.84,-4.992,-0.005,4.992,0.018,32.952,-0.027,32.952,-0.048,2.295,0.017,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.107e5,0,10.942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.132e-4,NaN,NaN,NaN,NaN,2.295,11.65,952.895,338.359,0.5,0.902
17.398,490.345,-4.987,0.011,4.987,0.278,31.84,-0.027,31.84,-0.049,2.156,0.278,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.105e5,0,10.963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.14e-4,NaN,NaN,NaN,NaN,2.153,11.667,953.174,338.369,0.5,0.902
17.898,487.85,-4.99,-0.006,4.99,0.339,30.804,-0.027,30.804,-0.051,1.986,0.339,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.107e5,0,10.947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.028e-4,NaN,NaN,NaN,NaN,1.984,11.683,953.453,338.379,0.5,0.902
18.398,485.356,-4.989,0.002,4.989,0.059,29.818,-0.027,29.818,-0.052,1.957,0.059,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.106e5,0,10.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.905e-4,NaN,NaN,NaN,NaN,1.957,11.699,953.731,338.388,0.5,0.903
18.898,482.862,-4.985,0.009,4.985,0.417,28.892,-0.027,28.892,-0.054,1.749,0.416,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.105e5,0,10.966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.883e-4,NaN,NaN,NaN,NaN,1.745,11.715,954.01,338.398,0.5,0.903
19.306,480.828,-4.977,0.018,4.978,0.808,28.11,-0.027,28.11,-0.055,2.079,0.808,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.103e5,0,11.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.738e-4,NaN,NaN,NaN,NaN,2.159,11.731,954.289,338.408,0.408,0.904
19.65,479.114,-4.989,-0.035,4.989,0.38,27.418,-0.027,27.418,-0.057,1.948,0.379,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.108e5,0,10.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.961e-4,NaN,NaN,NaN,NaN,1.886,11.745,954.516,338.416,0.344,0.904
19.986,477.443,-4.98,0.028,4.981,0.646,26.728,-0.027,26.728,-0.058,2.165,0.645,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.105e5,0,11.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.877e-4,NaN,NaN,NaN,NaN,2.276,11.756,954.712,338.423,0.335,0.904
20.486,474.952,-4.987,-0.014,4.987,0.538,25.579,-0.027,25.579,-0.061,2.433,0.538,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.107e5,0,10.948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.028e-4,NaN,NaN,NaN,NaN,2.438,11.767,954.908,338.429,0.5,0.905
20.986,472.459,-4.986,0.002,4.986,0.128,24.378,-0.027,24.378,-0.064,2.369,0.128,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.107e5,0,10.949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.248e-4,NaN,NaN,NaN,NaN,2.369,11.783,955.2,338.439,0.5,0.906
21.486,469.966,-4.986,9.273e-5,4.986,0.001,23.194,-0.027,23.194,-0.067,2.369,0.001,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.108e5,0,10.947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.195e-4,NaN,NaN,NaN,NaN,2.369,11.799,955.493,338.449,0.5,0.906
21.986,467.474,-4.982,0.007,4.982,0.308,22.048,-0.027,22.048,-0.07,2.215,0.308,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.107e5,0,10.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.194e-4,NaN,NaN,NaN,NaN,2.213,11.815,955.785,338.459,0.5,0.906
22.486,464.984,-4.977,0.011,4.977,0.625,21.019,-0.027,21.019,-0.073,1.902,0.625,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.105e5,0,10.981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.069e-4,NaN,NaN,NaN,NaN,1.898,11.831,956.077,338.469,0.5,0.907
22.986,462.493,-4.989,-0.025,4.989,0.217,20.041,-0.027,20.041,-0.077,2.01,0.215,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.111e5,0,10.921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.834e-4,NaN,NaN,NaN,NaN,2.012,11.848,956.369,338.479,0.5,0.907
23.486,460.001,-4.975,0.029,4.975,0.318,19.075,-0.027,19.075,-0.08,1.852,0.317,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.105e5,0,10.985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.922e-4,NaN,NaN,NaN,NaN,1.85,11.864,956.662,338.488,0.5,0.907
23.986,457.512,-4.982,-0.015,4.982,0.569,18.078,-0.027,18.078,-0.085,2.136,0.569,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.108e5,0,10.949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.797e-4,NaN,NaN,NaN,NaN,2.141,11.88,956.954,338.498,0.5,0.907
24.486,455.021,-4.982,1.484e-4,4.982,0.005,17.011,-0.027,17.011,-0.09,2.133,0.005,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.109e5,0,10.947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.008e-4,NaN,NaN,NaN,NaN,2.134,11.896,957.246,338.508,0.5,0.907
24.986,452.532,-4.977,0.01,4.977,0.396,15.994,-0.027,15.994,-0.095,1.936,0.396,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.107e5,0,10.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.006e-4,NaN,NaN,NaN,NaN,1.933,11.912,957.538,338.518,0.5,0.908
25.486,450.042,-4.982,-0.01,4.982,0.318,15.066,-0.027,15.066,-0.101,1.777,0.318,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.11e5,0,10.941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.857e-4,NaN,NaN,NaN,NaN,1.774,11.929,957.83,338.528,0.5,0.908
25.986,447.553,-4.973,0.018,4.973,0.467,14.119,-0.026,14.119,-0.107,2.01,0.467,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.106e5,0,10.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.754e-4,NaN,NaN,NaN,NaN,2.014,11.945,958.122,338.537,0.5,0.908
26.486,445.063,-4.986,-0.026,4.986,0.106,13.127,-0.026,13.127,-0.115,1.959,0.103,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.112e5,0,10.919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.907e-4,NaN,NaN,NaN,NaN,1.958,11.961,958.414,338.547,0.5,0.908
26.986,442.574,-4.972,0.027,4.972,0.045,12.152,-0.026,12.152,-0.124,1.94,0.036,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.107e5,0,10.977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.882e-4,NaN,NaN,NaN,NaN,1.94,11.977,958.706,338.557,0.5,0.909
27.486,440.085,-4.982,-0.02,4.982,0.29,11.218,-0.026,11.218,-0.134,1.796,0.29,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.111e5,0,10.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.857e-4,NaN,NaN,NaN,NaN,1.793,11.993,958.998,338.567,0.5,0.909
27.986,437.597,-4.972,0.02,4.972,0.226,10.349,-0.026,10.349,-0.145,1.683,0.226,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.108e5,0,10.972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.767e-4,NaN,NaN,NaN,NaN,1.681,12.009,959.29,338.577,0.5,0.909
28.334,435.866,-4.953,0.054,4.957,1.209,9.689,-0.026,9.689,-0.155,2.104,1.208,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.102e5,0,11.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.685e-4,NaN,NaN,NaN,NaN,2.292,12.026,959.582,338.586,0.349,0.909
28.607,434.514,-4.978,-0.091,4.978,0.112,9.118,-0.026,9.118,-0.165,2.087,0.064,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.111e5,0,10.845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.959e-4,NaN,NaN,NaN,NaN,2.072,12.037,959.785,338.593,0.272,0.909
29.107,432.026,-4.973,0.011,4.973,0.252,8.043,-0.026,8.043,-0.186,2.212,0.252,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.109e5,0,10.963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.968e-4,NaN,NaN,NaN,NaN,2.214,12.046,959.943,338.599,0.5,0.909
29.607,429.538,-4.978,-0.01,4.978,0.142,6.955,-0.026,6.955,-0.215,2.142,0.142,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.111e5,0,10.937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.059e-4,NaN,NaN,NaN,NaN,2.141,12.062,960.235,338.608,0.5,0.91
30.107,427.051,-4.971,0.014,4.971,0.207,5.91,-0.026,5.91,-0.253,2.038,0.207,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.109e5,0,10.965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.009e-4,NaN,NaN,NaN,NaN,2.037,12.078,960.527,338.618,0.5,0.91
30.607,424.564,-4.977,-0.012,4.977,0.132,4.907,-0.026,4.907,-0.303,1.973,0.131,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.112e5,0,10.935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.926e-4,NaN,NaN,NaN,NaN,1.972,12.094,960.818,338.628,0.5,0.91
31.107,422.077,-4.968,0.018,4.968,0.313,3.882,-0.026,3.882,-0.383,2.129,0.312,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.109e5,0,10.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.884e-4,NaN,NaN,NaN,NaN,2.131,12.11,961.11,338.638,0.5,0.911
31.607,419.592,-4.972,-0.008,4.972,0.493,2.879,-0.026,2.879,-0.515,1.882,0.493,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.111e5,0,10.952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.991e-4,NaN,NaN,NaN,NaN,1.879,12.126,961.402,338.648,0.5,0.911
32.075,417.263,-4.965,0.014,4.965,0.574,1.934,-0.026,1.934,-0.766,2.151,0.574,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.108e5,0,10.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.816e-4,NaN,NaN,NaN,NaN,2.173,12.143,961.693,338.657,0.469,0.911
32.575,414.777,-4.978,-0.025,4.978,0.176,0.836,-0.026,0.837,-1.766,2.238,0.174,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.114e5,0,10.921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.005e-4,NaN,NaN,NaN,NaN,2.24,12.158,961.966,338.667,0.5,0.911
33.075,412.294,-4.956,0.044,4.956,0.609,-0.207,-0.026,0.209,-172.916,1.935,0.607,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.105e5,0,11.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.083e-4,NaN,NaN,NaN,NaN,1.932,12.174,962.258,338.676,0.5,0.911
33.575,409.809,-4.983,-0.054,4.983,0.305,-1.212,-0.026,1.212,-178.786,2.085,0.3,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.117e5,0,10.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.838e-4,NaN,NaN,NaN,NaN,2.087,12.19,962.549,338.686,0.5,0.912
34.075,407.324,-4.956,0.055,4.956,0.287,-2.219,-0.026,2.219,-179.338,1.944,0.282,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.106e5,0,11.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.971e-4,NaN,NaN,NaN,NaN,1.942,12.206,962.841,338.696,0.5,0.912
34.575,404.84,-4.983,-0.054,4.983,0.157,-3.209,-0.026,3.209,-179.544,2.017,0.147,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.118e5,0,10.889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.844e-4,NaN,NaN,NaN,NaN,2.019,12.222,963.132,338.706,0.5,0.912
35.075,402.358,-4.945,0.075,4.945,0.652,-4.299,-0.026,4.299,-179.66,2.341,0.648,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.102e5,0,11.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.921e-4,NaN,NaN,NaN,NaN,2.344,12.239,963.423,338.715,0.5,0.912
35.49,400.301,-4.977,-0.076,4.977,0.554,-5.223,-0.025,5.223,-179.721,2.114,0.549,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.116e5,0,10.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.137e-4,NaN,NaN,NaN,NaN,2.063,12.255,963.714,338.725,0.415,0.912
35.99,397.817,-4.959,0.035,4.959,0.109,-6.267,-0.025,6.267,-179.768,2.062,0.103,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.109e5,0,10.987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.987e-4,NaN,NaN,NaN,NaN,2.062,12.268,963.956,338.733,0.5,0.912
36.49,395.334,-4.972,-0.027,4.972,0.337,-7.34,-0.025,7.34,-179.802,2.23,0.336,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.115e5,0,10.924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.933e-4,NaN,NaN,NaN,NaN,2.233,12.284,964.247,338.743,0.5,0.913
36.99,392.851,-4.958,0.03,4.958,0.376,-8.408,-0.025,8.408,-179.828,2.042,0.375,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.109e5,0,10.988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.072e-4,NaN,NaN,NaN,NaN,2.041,12.3,964.538,338.753,0.5,0.913
37.49,390.369,-4.97,-0.025,4.97,0.404,-9.479,-0.025,9.479,-179.847,2.244,0.404,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.115e5,0,10.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.917e-4,NaN,NaN,NaN,NaN,2.247,12.316,964.829,338.763,0.5,0.913
37.99,387.887,-4.961,0.019,4.961,0.098,-10.59,-0.025,10.59,-179.864,2.196,0.096,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.111e5,0,10.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.081e-4,NaN,NaN,NaN,NaN,2.196,12.333,965.121,338.772,0.5,0.913
38.49,385.404,-4.969,-0.017,4.969,0.017,-11.688,-0.025,11.688,-179.877,2.198,0.004,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.115e5,0,10.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.036e-4,NaN,NaN,NaN,NaN,2.199,12.349,965.412,338.782,0.5,0.913
38.99,382.922,-4.959,0.019,4.959,0.092,-12.776,-0.025,12.776,-179.888,2.153,0.09,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.112e5,0,10.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.045e-4,NaN,NaN,NaN,NaN,2.153,12.365,965.703,338.792,0.5,0.914
39.49,380.441,-4.967,-0.015,4.967,0.203,-13.878,-0.025,13.878,-179.897,2.255,0.203,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.115e5,0,10.933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.002e-4,NaN,NaN,NaN,NaN,2.256,12.381,965.994,338.802,0.5,0.914
39.99,377.961,-4.953,0.028,4.953,0.518,-15.07,-0.025,15.07,-179.905,2.513,0.518,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.109e5,0,10.994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.087e-4,NaN,NaN,NaN,NaN,2.516,12.397,966.285,338.812,0.5,0.915
40.256,376.648,-4.938,0.055,4.949,1.367,-15.689,-0.025,15.689,-179.909,2.151,1.366,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.108e5,0,11.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.287e-4,NaN,NaN,NaN,NaN,1.828,12.413,966.576,338.821,0.265,0.915
40.544,375.221,-4.962,-0.084,4.963,0.463,-16.29,-0.025,16.29,-179.912,2.02,0.455,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.115e5,0,10.865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.981e-4,NaN,NaN,NaN,NaN,1.92,12.422,966.73,338.827,0.288,0.915
41.044,372.744,-4.948,0.03,4.948,0.739,-17.208,-0.025,17.208,-179.917,1.651,0.738,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.108e5,0,11.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.905e-4,NaN,NaN,NaN,NaN,1.647,12.431,966.897,338.832,0.5,0.916
41.399,370.985,-4.959,-0.031,4.96,0.669,-17.836,-0.025,17.836,-179.92,1.888,0.668,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.114e5,0,10.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.641e-4,NaN,NaN,NaN,NaN,1.989,12.447,967.188,338.842,0.355,0.916
41.899,368.509,-4.943,0.031,4.943,0.886,-18.891,-0.025,18.891,-179.925,2.331,0.885,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.107e5,0,11.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.808e-4,NaN,NaN,NaN,NaN,2.335,12.459,967.394,338.849,0.5,0.916
42.252,366.761,-4.962,-0.053,4.963,0.531,-19.681,-0.025,19.681,-179.928,2.144,0.528,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.116e5,0,10.904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.127e-4,NaN,NaN,NaN,NaN,2.063,12.475,967.684,338.859,0.353,0.916
42.752,364.281,-4.957,0.01,4.957,0.151,-20.772,-0.025,20.772,-179.932,2.22,0.151,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.114e5,0,10.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.997e-4,NaN,NaN,NaN,NaN,2.221,12.486,967.889,338.865,0.5,0.916
43.252,361.803,-4.957,9.891e-4,4.957,0.423,-21.829,-0.025,21.829,-179.935,2.008,0.423,-45,178,9.805,NaN,NaN,NaN,NaN,1116.516,107.52,NaN,NaN,NaN,NaN,NaN,0.015,2.114e5,0,10.958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.051e-4,NaN,NaN,NaN,NaN,2.006,12.502,968.18,338.875,0.5,0.917
